WORD,MK,AK,MM,KB,average
chtsarek,0,0,0,0,0
chtsolek,0,0,0,0,0
chżcarek,0,0,0,0,0
cźąc,0,0,0,0,0
cźarek,0,0,0,0,0
cźolek,0,0,0,0,0
fśąc,0,0,0,0,0
fśarek,0,0,0,0,0
fśolek,0,0,0,0,0
ftśąc,0,0,0,0,0
ftsarek,0,0,0,0,0
ftśarek,0,0,0,0,0
ftsolek,0,0,0,0,0
ftśolek,0,0,0,0,0
ftsząc,0,0,0,0,0
ftszarek,0,0,0,0,0
gjjąc,0,0,0,0,0
gjjarek,0,0,0,0,0
gjjolek,0,0,0,0,0
ktśąc,0,0,0,0,0
ktśarek,0,0,0,0,0
ktśolek,0,0,0,0,0
płcarek,0,0,0,0,0
ścolek,0,0,0,0,0
stśąc,0,0,0,0,0
stsarek,0,0,0,0,0
stśarek,0,0,0,0,0
stśolek,0,0,0,0,0
tjąc,0,0,0,0,0
tsfąc,0,0,0,0,0
tsmolek,0,0,0,0,0
tsnolek,0,0,0,0,0
tżcarek,0,0,0,0,0
tżcolek,0,0,0,0,0
bźolek,0,1,0,0,0.25
cchąc,1,0,0,0,0.25
ccharek,1,0,0,0,0.25
ccholek,1,0,0,0,0.25
chfąc,1,0,0,0,0.25
chtsąc,0,1,0,0,0.25
chżcolek,1,0,0,0,0.25
chżczarek,1,0,0,0,0.25
chżtarek,1,0,0,0,0.25
chżtolek,1,0,0,0,0.25
fcharek,1,0,0,0,0.25
fkolek,1,0,0,0,0.25
fpąc,1,0,0,0,0.25
fparek,1,0,0,0,0.25
fpolek,1,0,0,0,0.25
fsąc,1,0,0,0,0.25
fsarek,1,0,0,0,0.25
ftsąc,0,0,1,0,0.25
ftszolek,1,0,0,0,0.25
gdźolek,0,1,0,0,0.25
jmarek,1,0,0,0,0.25
jmolek,1,0,0,0,0.25
kfolek,1,0,0,0,0.25
kjjąc,0,1,0,0,0.25
kjjarek,0,1,0,0,0.25
kjjolek,0,1,0,0,0.25
kśąc,0,0,0,1,0.25
kśarek,0,1,0,0,0.25
ljarek,1,0,0,0,0.25
łźolek,0,1,0,0,0.25
pśąc,1,0,0,0,0.25
pśolek,0,1,0,0,0.25
rjąc,1,0,0,0,0.25
rjarek,1,0,0,0,0.25
rjolek,1,0,0,0,0.25
śfąc,1,0,0,0,0.25
śfolek,1,0,0,0,0.25
sśarek,1,0,0,0,0.25
sśolek,1,0,0,0,0.25
sszolek,0,1,0,0,0.25
stsąc,1,0,0,0,0.25
stżarek,1,0,0,0,0.25
szpżąc,1,0,0,0,0.25
szpżolek,1,0,0,0,0.25
tfąc,1,0,0,0,0.25
tjarek,1,0,0,0,0.25
tsfarek,0,0,0,1,0.25
tsfolek,0,0,1,0,0.25
tsnarek,0,1,0,0,0.25
tsztąc,0,1,0,0,0.25
tsztarek,1,0,0,0,0.25
tsztolek,1,0,0,0,0.25
tżcąc,1,0,0,0,0.25
tżmarek,1,0,0,0,0.25
wdźarek,0,1,0,0,0.25
wśąc,0,1,0,0,0.25
wśarek,0,0,1,0,0.25
wstżarek,0,1,0,0,0.25
wwarek,0,0,1,0,0.25
wwolek,0,0,1,0,0.25
wźąc,0,1,0,0,0.25
wźarek,0,1,0,0,0.25
źarek,0,1,0,0,0.25
zdźolek,0,1,0,0,0.25
bjąc,1,1,0,0,0.5
bjolek,1,1,0,0,0.5
bźąc,0,1,1,0,0.5
bźarek,0,1,1,0,0.5
bżolek,1,1,0,0,0.5
chfarek,1,1,0,0,0.5
chfolek,1,1,0,0,0.5
chjąc,1,1,0,0,0.5
chjarek,1,1,0,0,0.5
chszarek,1,1,0,0,0.5
chżąc,1,1,0,0,0.5
chżarek,1,1,0,0,0.5
chżcąc,1,1,0,0,0.5
chżcząc,1,1,0,0,0.5
chżczolek,1,1,0,0,0.5
chżtąc,1,1,0,0,0.5
czcarek,0,1,1,0,0.5
djąc,1,1,0,0,0.5
djolek,1,1,0,0,0.5
dźąc,0,1,0,1,0.5
dźarek,0,1,0,1,0.5
fcholek,1,1,0,0,0.5
fjąc,1,0,1,0,0.5
fjarek,1,1,0,0,0.5
fsząc,1,1,0,0,0.5
fszolek,1,1,0,0,0.5
ftąc,1,1,0,0,0.5
ftolek,1,0,0,1,0.5
gdźąc,0,1,0,1,0.5
gźąc,0,1,1,0,0.5
gźarek,0,1,1,0,0.5
gżarek,1,0,1,0,0.5
gżbąc,1,1,0,0,0.5
gżbarek,1,1,0,0,0.5
gżbolek,1,1,0,0,0.5
gżmąc,1,1,0,0,0.5
gżmolek,1,1,0,0,0.5
gźolek,0,1,1,0,0.5
gżolek,1,1,0,0,0.5
jmąc,1,1,0,0,0.5
kcarek,1,0,0,1,0.5
kfąc,1,0,1,0,0.5
krtarek,1,0,1,0,0.5
krtolek,1,0,1,0,0.5
kśolek,0,1,1,0,0.5
kżąc,1,1,0,0,0.5
kżarek,1,1,0,0,0.5
kżolek,1,1,0,0,0.5
ljąc,1,1,0,0,0.5
ljolek,1,1,0,0,0.5
łźąc,0,1,1,0,0.5
łźarek,1,1,0,0,0.5
mjarek,1,1,0,0,0.5
mjolek,1,1,0,0,0.5
pjarek,1,1,0,0,0.5
pjolek,1,1,0,0,0.5
płcolek,0,1,1,0,0.5
pśarek,0,1,1,0,0.5
pżarek,1,1,0,0,0.5
pżolek,1,1,0,0,0.5
ścąc,1,1,0,0,0.5
ścarek,1,1,0,0,0.5
schrarek,0,0,1,1,0.5
śfarek,1,1,0,0,0.5
skżąc,1,1,0,0,0.5
skżarek,1,1,0,0,0.5
skżolek,1,1,0,0,0.5
spżąc,1,1,0,0,0.5
spżarek,1,1,0,0,0.5
spżolek,1,1,0,0,0.5
stsolek,1,0,1,0,0.5
stszolek,1,1,0,0,0.5
stżolek,1,1,0,0,0.5
szfąc,1,0,1,0,0.5
szpżarek,1,1,0,0,0.5
tfolek,1,0,1,0,0.5
