[tʃ],cz
[tʃ][tʃ],czcz
[tʃ][ts],czc
[tʃ]k,czk
[tʃ]v,czw
[tʃ]w,czł
[dʒ],dż
[dʒ][dʒ],dżdż
[ts],c
[ts]l,cl
[ts]m,cm
[ts]n,cn
[ts]v,cw
[ts]w,cł
[ts]x,cch
[ts]z,cz
[ts]ʑ,cź
b,b
bj,bj
bl,bl
br,br
brv,brw
bw,bł
bz,bz
bʑ,bź
bʒ,bż
d,d
db,db
dj,dj
dl,dl
dm,dm
dn,dn
dr,dr
drg,drg
drv,drw
drʒ,drż
dv,dw
dw,dł
dzb,dzb
dzv,dzw
dɲ,dni
dʑ,dź
dʑv,dźw
dʒ,dż
f,f
fj,fj
fk,fk
fl,fl
fp,fp
fr,fr
fs,fs
ft,ft
fts,fts
ftɕ,ftś
ftʃ,ftsz
fx,fch
fɕ,fś
fʃ,fsz
g,g
gd,gd
gdʑ,gdź
gjj,gjj
gl,gl
gm,gm
gn,gn
gr,gr
gv,gw
gw,gł
gz,gz
gɲ,gni
gʑ,gź
gʒ,gż
gʒb,gżb
gʒm,gżm
j,j
jm,jm
k,k
k[ts],kc
kf,kf
kjj,kjj
kl,kl
km,km
kn,kn
kr,kr
krt,krt
krv,krw
ks,ks
kt,kt
ktɕ,ktś
kv,kw
kw,kł
kɕ,kś
kɲ,kni
kʃ,ksz
kʃt,kszt
kʒ,kż
l,l
lgn,lgn
lgɲ,lgni
lj,lj
ln,ln
lv,lw
lɕɲ,lśni
lɲ,lni
lʒ,lż
m,m
mgl,mgl
mgw,mgł
mj,mj
mkn,mkn
mkɲ,mkni
ml,ml
mn,mn
mr,mr
mw,mł
mx,mch
mɟ,mgi
mɲ,mni
mʃ,msz
mʒ,mż
n,n
p,p
pj,pj
pl,pl
pn,pn
pr,pr
ps,ps
pstr,pstr
pt,pt
pw,pł
pw[ts],płc
px,pch
pxl,pchl
pxw,pchł
pɕ,pś
pɲ,pni
pʃ,psz
pʃ[tʃ],pszcz
pʒ,pż
r,r
rdz,rdz
rj,rj
rt,rt
rv,rw
rʒ,rż
s,s
s[ts],sc
sf,sf
sk,sk
skl,skl
skr,skr
skw,skł
skʒ,skż
sl,sl
sm,sm
smr,smr
sn,sn
sp,sp
spl,spl
spr,spr
spʒ,spż
sr,sr
ss,ss
st,st
str,str
sts,sts
stv,stw
stw,stł
stɕ,stś
stʃ,stsz
stʒ,stż
sv,sw
sw,sł
sx,sch
sxl,schl
sxn,schn
sxr,schr
sxɲ,schni
sɕ,sś
sʃ,ssz
t,t
tf,tf
tj,tj
tk,tk
tl,tl
tm,tm
tn,tn
tp,tp
tr,tr
trv,trw
tsf,tsf
tsm,tsm
tsn,tsn
tv,tw
tw,tł
tx,tch
tɕm,tśm
tɲ,tni
tʃ,tsz
tʃk,tszk
tʃt,tszt
tʒ,tż
tʒ[ts],tżc
tʒm,tżm
v,w
v[tʃ],wcz
vb,wb
vd,wd
vdʑ,wdź
vg,wg
vj,wj
vk,wk
vkr,wkr
vl,wl
vm,wm
vn,wn
vp,wp
vpw,wpł
vr,wr
vsk,wsk
vsp,wsp
vst,wst
vstr,wstr
vstʒ,wstż
vsx,wsch
vt,wt
vv,ww
vw,wł
vz,wz
vzg,wzg
vzr,wzr
vzv,wzw
vɕ,wś
vɲ,wni
vʃ,wsz
vʑ,wź
vʒ,wż
w,ł
wb,łb
wg,łg
wz,łz
wʑ,łź
wʒ,łż
x,ch
x[ts],chc
xf,chf
xj,chj
xl,chl
xm,chm
xr,chr
xts,chts
xv,chw
xw,chł
xʃ,chsz
xʒ,chż
xʒ[tʃ],chżcz
xʒ[ts],chżc
xʒt,chżt
z,z
zb,zb
zbl,zbl
zbr,zbr
zd,zd
zdj,zdj
zdr,zdr
zdʑ,zdź
zg,zg
zgj,zgj
zgl,zgl
zgr,zgr
zgɲ,zgni
zgʒ,zgż
zj,zj
zl,zl
zm,zm
zmr,zmr
zn,zn
zr,zr
zv,zw
zvr,zwr
zvw,zwł
zw,zł
zz,zz
zɲ,zni
zʃ,zsz
zʒ,zż
ɕ,si
ɕ[ts],śc
ɕf,śf
ɕl,śl
ɕm,śm
ɕp,śp
ɕr,śr
ɕv,św
ɕɲ,śni
ɟ,gi
ɲ,ni
ʃ,sz
ʃ[tʃ],szcz
ʃ[tʃ]v,szczw
ʃ[ts],szc
ʃf,szf
ʃk,szk
ʃkl,szkl
ʃkv,szkw
ʃkw,szkł
ʃl,szl
ʃm,szm
ʃn,szn
ʃp,szp
ʃpr,szpr
ʃpʒ,szpż
ʃr,szr
ʃt,szt
ʃv,szw
ʃw,szł
ʑ,ź
ʑdʑb,źdźb
ʑdʑbl,źdźbl
ʑdʑbw,źdźbł
ʑl,źl
ʑr,źr
ʒ,ż
ʒb,żb
ʒm,żm
ʒn,żn
ʒv,żw
ʒw,żł
ʒɲ,żni
