CLUSTER, FREQUENCY, SONORITY, LENGTH, ACCEPTABILITY
[tʃ],0,1,0.5,1.0
[tʃ][tʃ],0.5,2,1.0,0.8333333333333334
[tʃ][ts],0.5,2,1.0,0.6666666666666666
[tʃ]k,-0.25,2,0.5,1.0
[tʃ]v,0.75,2,1.5,1.0
[tʃ]w,2.25,2,4.5,1.0
[dʒ],0,1,0.5,0.9166666666666666
[dʒ][dʒ],0.5,2,1.0,0.9166666666666666
[ts],0,1,0.5,1.0
[ts]l,1.75,2,3.5,0.9166666666666666
[ts]m,1.25,2,2.5,1.0
[ts]n,1.25,2,2.5,1.0
[ts]v,0.75,2,1.5,1.0
[ts]w,2.25,2,4.5,1.0
[ts]x,0.75,2,1.5,0.25
[ts]z,0.75,2,1.5,-1
[ts]ʑ,0.75,2,1.5,0.0
b,0,1,0,1.0
bj,2.0,2,4,0.5833333333333334
bl,1.5,2,3,1.0
br,1.5,2,3,1.0
brv,-0.5,3,4,1.0
bw,2.0,2,4,1.0
bz,0.5,2,1,1.0
bʑ,0.5,2,1,0.4166666666666667
bʒ,0.5,2,1,0.6666666666666666
d,0,1,0,1.0
db,0.0,2,0,1.0
dj,2.0,2,4,0.5833333333333334
dl,1.5,2,3,1.0
dm,1.0,2,2,1.0
dn,1.0,2,2,1.0
dr,1.5,2,3,1.0
drg,0.0,3,3,0.9166666666666666
drv,-0.5,3,4,1.0
drʒ,-0.5,3,4,0.9166666666666666
dv,0.5,2,1,1.0
dw,2.0,2,4,1.0
dzb,0.0,3,1,1.0
dzv,1.5,3,2,0.9166666666666666
dɲ,1.0,2,2,1.0
dʑ,0.5,2,1,0.5833333333333334
dʑv,1.5,3,2,1.0
dʒ,0.5,2,1,-1
f,0,1,1,0.9166666666666666
fj,2.5,2,5,0.5833333333333334
fk,-0.5,2,1,0.5833333333333334
fl,2.0,2,4,1.0
fp,-0.5,2,1,0.25
fr,2.0,2,4,1.0
fs,1.0,2,2,0.4166666666666667
ft,-0.5,2,1,0.5833333333333334
fts,0.0,3,2,0.08333333333333333
ftɕ,0.0,3,2,0.0
ftʃ,0.0,3,2,0.08333333333333333
fx,1.0,2,2,0.5
fɕ,1.0,2,2,0.0
fʃ,1.0,2,2,0.5833333333333334
g,0,1,0,1.0
gd,0.0,2,0,1.0
gdʑ,0.5,3,1,0.5
gjj,6.0,3,8,0.0
gl,1.5,2,3,1.0
gm,1.0,2,2,1.0
gn,1.0,2,2,1.0
gr,1.5,2,3,1.0
gv,0.5,2,1,1.0
gw,2.0,2,4,1.0
gz,0.5,2,1,1.0
gɲ,1.0,2,2,1.0
gʑ,0.5,2,1,0.5
gʒ,0.5,2,1,0.6666666666666666
gʒb,0.0,3,1,0.5
gʒm,2.0,3,3,0.5833333333333334
j,0,1,4,1.0
jm,-3.0,2,6,0.3333333333333333
k,0,1,0,1.0
k[ts],0.25,2,0.5,0.75
kf,0.5,2,1,0.5
kjj,6.0,3,8,0.25
kl,1.5,2,3,1.0
km,1.0,2,2,1.0
kn,1.0,2,2,1.0
kr,1.5,2,3,1.0
krt,0.0,3,3,0.6666666666666666
krv,-0.5,3,4,1.0
ks,0.5,2,1,1.0
kt,0.0,2,0,1.0
ktɕ,0.5,3,1,0.0
kv,0.5,2,1,1.0
kw,2.0,2,4,1.0
kɕ,0.5,2,1,0.3333333333333333
kɲ,1.0,2,2,1.0
kʃ,0.5,2,1,1.0
kʃt,0.0,3,1,1.0
kʒ,0.5,2,1,0.5
l,0,1,3,1.0
lgn,-0.5,3,5,0.9166666666666666
lgɲ,-0.5,3,5,1.0
