CLUSTER, NGRAM, UNI, JAROSZ
,456556,16484,0
[tʃ],12777,1429,0
[tʃ][tʃ],124,10,0
[tʃ][ts],252,12,0
[tʃ]k,206,17,0
[tʃ]v,560,39,0
[tʃ]w,403,15,0
[dʒ],991,152,0
[dʒ][dʒ],57,20,0
[ts],127478,3049,0
[ts]l,6568,1,0
[ts]m,545,21,0
[ts]n,181,42,0
[ts]v,1127,5,0
[ts]w,92,7,0
[ts]x,17198,33,0
[ts]z,8560,40,0
[ts]ʑ,780,20,0
b,88001,4271,0
bj,144,0,133
bl,9208,328,73
br,10758,879,206
brv,39,5,0
bw,1462,245,52
bz,359,0,6
bʑ,127,0,2
bʒ,1266,199,51
d,96508,4198,0
db,277,57,4
dj,604,0,20
dl,1319,0,8
dm,402,57,16
dn,170,7,2
dr,9006,649,190
drg,103,65,0
drv,158,10,0
drʒ,64,57,0
dv,5706,246,58
dw,1352,84,40
dzb,65,10,8
dzv,603,30,28
dɲ,311,9,8
dʑ,9696,989,0
dʑv,386,148,9
dʒ,555,96,23
f,45287,1585,0
fj,116,0,18
fk,44,0,4
fl,5413,117,38
fp,57,0,59
fr,7985,240,67
fs,70,0,35
ft,154,5,12
fts,2,0,2
ftɕ,1,0,25
ftʃ,1,0,17
fx,122,0,20
fɕ,10,0,27
fʃ,24,0,27
g,39240,2182,0
gd,559,79,19
gdʑ,171,0,10
gjj,1,0,12
gl,5424,191,29
gm,360,19,2
gn,879,80,7
gr,13942,945,249
gv,1984,260,29
gw,2544,384,121
gz,159,8,5
gɲ,762,105,37
gʑ,53,1,0
gʒ,2241,364,118
gʒb,66,10,0
gʒm,117,67,0
j,41612,1980,0
jm,144,12,0
k,102188,7048,0
k[ts],244,10,0
kf,154,0,46
kjj,1,0,75
kl,9261,612,196
km,443,0,1
kn,1007,30,6
kr,14783,1280,411
krt,71,18,0
krv,486,110,0
ks,859,82,0
kt,1374,11,28
ktɕ,1,0,2
kv,3637,423,0
kw,1371,423,102
kɕ,1531,125,74
