[tʃ],0.5
[tʃ][tʃ],0.5,0.5
[tʃ][ts],0.5,0.5
[tʃ]k,0.5,0
[tʃ]v,0.5,1
[tʃ]w,0.5,4
[dʒ],0.5
[dʒ][dʒ],0.5,0.5
[ts],0.5
[ts]l,0.5,3
[ts]m,0.5,2
[ts]n,0.5,2
[ts]v,0.5,1
[ts]w,0.5,4
[ts]x,0.5,1
[ts]z,0.5,1
[ts]ʑ,0.5,1
b,0
bj,0,4
bl,0,3
br,0,3
brv,0,3,1
bw,0,4
bz,0,1
bʑ,0,1
bʒ,0,1
d,0
db,0,0
dj,0,4
dl,0,3
dm,0,2
dn,0,2
dr,0,3
drg,0,3,0
drv,0,3,1
drʒ,0,3,1
dv,0,1
dw,0,4
dzb,0,1,0
dzv,0,1,1
dɲ,0,2
dʑ,0,1
dʑv,0,1,1
dʒ,0,1
f,1
fj,1,4
fk,1,0
fl,1,3
fp,1,0
fr,1,3
fs,1,1
ft,1,0
fts,1,0,1
ftɕ,1,0,1
ftʃ,1,0,1
fx,1,1
fɕ,1,1
fʃ,1,1
g,0
gd,0,0
gdʑ,0,0,1
gjj,0,4,4
gl,0,3
gm,0,2
gn,0,2
gr,0,3
gv,0,1
gw,0,4
gz,0,1
gɲ,0,2
gʑ,0,1
gʒ,0,1
gʒb,0,1,0
gʒm,0,1,2
j,4
jm,4,2
k,0
k[ts],0,0.5
kf,0,1
kjj,0,4,4
kl,0,3
km,0,2
kn,0,2
kr,0,3
krt,0,3,0
krv,0,3,1
ks,0,1
kt,0,0
ktɕ,0,0,1
kv,0,1
kw,0,4
kɕ,0,1
kɲ,0,2
kʃ,0,1
kʃt,0,1,0
kʒ,0,1
l,3
lgn,3,0,2
lgɲ,3,0,2
lj,3,4
ln,3,2
lv,3,1
lɕɲ,3,1,2
lɲ,3,2
lʒ,3,1
m,2
mgl,2,0,3
mgw,2,0,4
mj,2,4
mkn,2,0,2
mkɲ,2,0,2
ml,2,3
mn,2,2
mr,2,3
mw,2,4
mx,2,1
mɟ,2,0
mɲ,2,2
mʃ,2,1
mʒ,2,1
n,2
p,0
pj,0,4
pl,0,3
pn,0,2
pr,0,3
ps,0,1
pstr,0,1,0,3
pt,0,0
pw,0,4
pw[ts],0,4,0.5
px,0,1
pxl,0,1,3
pxw,0,1,4
pɕ,0,1
pɲ,0,2
pʃ,0,1
pʃ[tʃ],0,1,0.5
pʒ,0,1
r,3
rdz,3,0,1
rj,3,4
rt,3,0
rv,3,1
rʒ,3,1
s,1
s[ts],1,0.5
sf,1,1
sk,1,0
skl,1,0,3
skr,1,0,3
skw,1,0,4
skʒ,1,0,1
sl,1,3
sm,1,2
smr,1,2,3
sn,1,2
sp,1,0
spl,1,0,3
spr,1,0,3
spʒ,1,0,1
sr,1,3
ss,1,1
st,1,0
str,1,0,3
sts,1,0,1
stv,1,0,1
stw,1,0,4
stɕ,1,0,1
stʃ,1,0,1
stʒ,1,0,1
sv,1,1
sw,1,4
sx,1,1
sxl,1,1,3
sxn,1,1,2
sxr,1,1,3
sxɲ,1,1,2
sɕ,1,1
sʃ,1,1
t,0
tf,0,1
tj,0,4
tk,0,0
tl,0,3
tm,0,2
tn,0,2
tp,0,0
tr,0,3
trv,0,3,1
tsf,0,1,1
tsm,0,1,2
tsn,0,1,2
tv,0,1
tw,0,4
tx,0,1
tɕm,0,1,2
tɲ,0,2
tʃ,0,1
tʃk,0,1,0
tʃt,0,1,0
tʒ,0,1
tʒ[ts],0,1,0.5
tʒm,0,1,2
v,1
v[tʃ],1,0.5
vb,1,0
vd,1,0
vdʑ,1,0,1
vg,1,0
vj,1,4
vk,1,0
vkr,1,0,3
vl,1,3
vm,1,2
vn,1,2
vp,1,0
vpw,1,0,4
vr,1,3
vsk,1,1,0
vsp,1,1,0
vst,1,1,0
vstr,1,1,0,3
vstʒ,1,1,0,1
vsx,1,1,1
vt,1,0
vv,1,1
vw,1,4
vz,1,1
vzg,1,1,0
vzr,1,1,3
vzv,1,1,1
vɕ,1,1
vɲ,1,2
vʃ,1,1
vʑ,1,1
vʒ,1,1
w,4
wb,4,0
wg,4,0
wz,4,1
wʑ,4,1
wʒ,4,1
x,1
x[ts],1,0.5
xf,1,1
xj,1,4
xl,1,3
xm,1,2
xr,1,3
xts,1,0,1
xv,1,1
xw,1,4
xʃ,1,1
xʒ,1,1
xʒ[tʃ],1,1,0.5
xʒ[ts],1,1,0.5
xʒt,1,1,0
z,1
