[tʃ],1
[tʃ][tʃ],1,1
[tʃ][ts],1,1
[tʃ]k,1,-1
[tʃ]v,1,1
[tʃ]w,1,1
[dʒ],1
[dʒ][dʒ],1,1
[ts],1
[ts]l,1,1
[ts]m,1,1
[ts]n,1,1
[ts]v,1,1
[ts]w,1,1
[ts]x,1,1
[ts]z,1,1
[ts]ʑ,1,1
b,1
bj,1,1
bl,1,1
br,1,1
brv,1,1,-1
bw,1,1
bz,1,1
bʑ,1,1
bʒ,1
d,1
db,1,1
dj,1,1
dl,1,1
dm,1,1
dn,1,1
dr,1,1
drg,1,1,-1
drv,1,1,-1
drʒ,1,1
dv,1,1
dw,1,1
dzb,1,1,-1
dzv,1,1,1
dɲ,1,1
dʑ,1,1
dʑv,1,1,1
dʒ,1
f,1
fj,1,1
fk,1,-1
fl,1,1
fp,1,-1
fr,1,1
fs,1,1
ft,1,-1
fts,1,-1,1
ftɕ,1,-1,1
ftʃ,1,-1,1
fx,1,1
fɕ,1,1
fʃ,1,1
g,1
gd,1,1
gdʑ,1,1,1
gjj,1,1,1
gl,1,1
gm,1,1
gn,1,1
gr,1,1
gv,1,1
gw,1,1
gz,1,1
gɲ,1,1
gʑ,1,1
gʒ,1
gʒb,1,1
gʒm,1,1
j,1
jm,1,-1
k,1
k[ts],1,1
kf,1,1
kjj,1,1,1
kl,1,1
km,1,1
kn,1,1
kr,1,1
krt,1,1,-1
krv,1,1,-1
ks,1,1
kt,1,1
ktɕ,1,1,1
kv,1,1
kw,1,1
kɕ,1,1
kɲ,1,1
kʃ,1,1
kʃt,1,1,-1
kʒ,1
l,1
lgn,1,-1,1
lgɲ,1,-1,1
lj,1,1
ln,1,-1
lv,1,-1
lɕɲ,1,-1,1
lɲ,1,-1
lʒ,1
m,1
mgl,1,-1,1
mgw,1,-1,1
mj,1,1
mkn,1,-1,1
mkɲ,1,-1,1
ml,1,1
mn,1,1
mr,1,1
mw,1,1
mx,1,-1
mɟ,1,-1
mɲ,1,1
mʃ,1,-1
mʒ,1
n,1
p,1
pj,1,1
pl,1,1
pn,1,1
pr,1,1
ps,1,1
pstr,1,1,-1,1
pt,1,1
pw,1,1
pw[ts],1,1,-1
px,1,1
pxl,1,1,1
pxw,1,1,1
pɕ,1,1
pɲ,1,1
pʃ,1,1
pʃ[tʃ],1,1,-1
pʒ,1
r,1
rdz,1,-1,1
rj,1,1
rt,1,-1
rv,1,-1
rʒ,1
s,1
s[ts],1,-1
sf,1,1
sk,1,-1
skl,1,-1,1
skr,1,-1,1
skw,1,-1,1
skʒ,1,-1
sl,1,1
sm,1,1
smr,1,1,1
sn,1,1
sp,1,-1
spl,1,-1,1
spr,1,-1,1
spʒ,1,-1
sr,1,1
ss,1,1
st,1,-1
str,1,-1,1
sts,1,-1,1
stv,1,-1,1
stw,1,-1,1
stɕ,1,-1,1
stʃ,1,-1,1
stʒ,1,-1
sv,1,1
sw,1,1
sx,1,1
sxl,1,1,1
sxn,1,1,1
sxr,1,1,1
sxɲ,1,1,1
sɕ,1,1
sʃ,1,1
t,1
tf,1,1
tj,1,1
tk,1,1
tl,1,1
tm,1,1
tn,1,1
tp,1,1
tr,1,1
trv,1,1,-1
tsf,1,1,1
tsm,1,1,1
tsn,1,1,1
tv,1,1
tw,1,1
tx,1,1
tɕm,1,1,1
tɲ,1,1
tʃ,1,1
tʃk,1,1,-1
tʃt,1,1,-1
tʒ,1
tʒ[ts],1,1
tʒm,1,1
v,1
v[tʃ],1,-1
vb,1,-1
vd,1,-1
vdʑ,1,-1,1
vg,1,-1
vj,1,1
vk,1,-1
vkr,1,-1,1
vl,1,1
vm,1,1
vn,1,1
vp,1,-1
vpw,1,-1,1
vr,1,1
vsk,1,1,-1
vsp,1,1,-1
vst,1,1,-1
vstr,1,1,-1,1
vstʒ,1,1,-1
vsx,1,1,1
vt,1,-1
vv,1,1
vw,1,1
vz,1,1
vzg,1,1,-1
vzr,1,1,1
vzv,1,1,1
vɕ,1,1
vɲ,1,1
vʃ,1,1
vʑ,1,1
vʒ,1
w,1
wb,1,-1
wg,1,-1
wz,1,-1
wʑ,1,-1
wʒ,1
x,1
x[ts],1,-1
xf,1,1
xj,1,1
xl,1,1
xm,1,1
xr,1,1
xts,1,-1,1
xv,1,1
xw,1,1
xʃ,1,1
xʒ,1
xʒ[tʃ],1,-1
xʒ[ts],1,-1
xʒt,1,-1
z,1
